Happy,Angry,Surprise,Sad,Fear,emotion
0.065,0.085,0.355,0.15500000000000003,0.33999999999999997,surprise
0.08,0.23,0.08,0.31,0.31,sad
0.12,0.08,0.12,0.08,0.58,fear
0.0,0.0,0.0,0.4,0.6,fear
0.0,0.29,0.0,0.14,0.57,fear
0.1,0.03,0.07,0.45,0.34,sad
0.0,0.1,0.15,0.3,0.45,fear
0.67,0.0,0.0,0.0,0.33,happy
0.0,0.0,0.12,0.0,0.88,fear
0.0,0.0,0.2,0.365,0.43500000000000005,fear
0.03,0.0,0.06,0.36,0.545,fear
0.10571428571428572,0.02142857142857143,0.06571428571428571,0.19714285714285712,0.6114285714285715,fear
0.0,0.0,0.0,0.25,0.75,fear
0.0,0.04,0.085,0.46,0.41500000000000004,sad
0.0,0.0,0.0,0.33,0.67,fear
0.0,0.25,0.0,0.0,0.75,fear
0.0,0.0,1.0,0.0,0.0,surprise
0.0,0.33,0.0,0.0,0.67,fear
0.0,0.23,0.08,0.29,0.4,fear
0.17,0.0,0.33,0.5,0.0,sad
0.0,0.0,0.0,0.43,0.57,fear
0.33,0.08,0.08,0.25,0.25,happy
0.05,0.0,0.1,0.1,0.75,fear
0.0,0.0,0.06,0.12,0.82,fear
0.04,0.04,0.16,0.27,0.49,fear
0.0,0.0,0.0,0.0,1.0,fear
0.12,0.0,0.12,0.5,0.25,sad
0.0,0.0,0.0,0.75,0.25,sad
0.15,0.05,0.0,0.15,0.65,fear
0.1,0.0,0.15,0.2,0.55,fear
0.0,0.0,0.5,0.0,0.5,surprise
0.08,0.0,0.29,0.21,0.42,fear
0.15,0.06,0.15,0.27,0.36,fear
0.08,0.0,0.33,0.33,0.25,surprise
0.0,0.0,0.0,0.19333333333333336,0.47333333333333333,fear
0.15,0.0,0.15,0.32,0.39,fear
0.0,0.0,0.0,1.0,0.0,sad
0.22,0.0,0.22,0.0,0.56,fear
0.26,0.11,0.15,0.26,0.22,happy
0.67,0.0,0.33,0.0,0.0,happy
0.09,0.18,0.09,0.36,0.27,sad
0.12,0.12,0.24,0.06,0.47,fear
0.1,0.0,0.2,0.2,0.5,fear
0.145,0.155,0.1,0.30000000000000004,0.29,sad
0.0,0.0,0.0,0.0,0.0,happy
0.45,0.05,0.15,0.2,0.15,happy
0.0,0.0,0.25,0.17,0.58,fear
0.0,0.0,0.215,0.27,0.52,fear
0.0,0.0,0.0,0.25,0.75,fear
0.0,0.0,0.14,0.38,0.48,fear
0.12,0.12,0.18,0.12,0.47,fear
0.0,0.0,0.2,0.3,0.5,fear
0.0,0.08,0.0,0.46,0.46,sad
0.19,0.05,0.19,0.33,0.24,sad
0.05,0.08,0.15,0.46,0.26,sad
0.0,0.04,0.0,0.32,0.64,fear
0.11,0.0,0.11,0.44,0.33,sad
0.0,0.0,0.0,0.5,0.5,sad
0.14,0.0,0.07,0.29,0.5,fear
0.0,0.0,0.14,0.0,0.86,fear
0.0,0.0,0.0,0.12,0.88,fear
0.16,0.07,0.11,0.27,0.39,fear
0.0,0.0,0.11,0.11,0.78,fear
0.12,0.0,0.0,0.5,0.38,sad
0.0,0.0,0.165,0.46499999999999997,0.365,sad
0.0,0.0,0.5,0.5,0.0,surprise
0.0,0.14,0.0,0.0,0.86,fear
0.0,0.0,0.0,0.0,1.0,fear
0.0,0.0,0.0,0.0,1.0,fear
0.21,0.05,0.0,0.11,0.63,fear
0.0,0.0,0.0,0.125,0.875,fear
0.0,0.0,0.075,0.115,0.81,fear
0.0,0.14,0.0,0.29,0.57,fear
0.055,0.0,0.105,0.21500000000000002,0.625,fear
0.0,0.11,0.22,0.11,0.56,fear
0.0,0.0,0.0,0.165,0.835,fear
0.09,0.11,0.13,0.275,0.385,fear
0.03,0.0,0.41000000000000003,0.12,0.44,fear
0.23,0.08,0.0,0.0,0.69,fear
0.08,0.04,0.16,0.48,0.24,sad
0.05,0.05,0.33,0.1,0.48,fear
0.3,0.0,0.07,0.19,0.44,fear
0.06,0.03,0.18,0.21,0.52,fear
0.0,0.0,0.0,0.5,0.5,sad
0.06,0.04,0.16,0.255,0.48,fear
0.12,0.12,0.12,0.38,0.27,sad
0.0,0.0,0.5,0.5,0.0,surprise
0.0,0.2,0.0,0.2,0.6,fear
0.0,0.07,0.21,0.21,0.5,fear
0.0,0.0,0.0,0.62,0.38,sad
0.0,0.17,0.08,0.08,0.67,fear
0.045,0.0,0.0,0.18,0.775,fear
0.0,0.0,0.0,0.5,0.5,sad
0.07,0.11,0.16999999999999998,0.20500000000000002,0.44,fear
